Ticker,Date,High,Low,Close,Open,Adj Close,Volume
SPY,2015-04-01,206.42,204.51,205.7,206.39,186.14,137303600
SPY,2015-04-02,206.98,205.4,206.44,205.62,186.81,86900900
SPY,2015-04-06,208.45,205.21,207.83,205.37,188.07,114368200
SPY,2015-04-07,208.76,207.24,207.28,207.86,187.57,81236300
SPY,2015-04-08,208.51,207.08,207.98,207.55,188.2,89351900
SPY,2015-04-09,209.18,207.19,208.9,207.78,189.04,85548900
SPY,2015-04-10,210.09,208.96,210.04,209.2,190.07,72722900
SPY,2015-04-13,210.63,209.03,209.09,209.87,189.21,74436600
SPY,2015-04-14,209.71,208.1,209.49,208.85,189.57,75099900
SPY,2015-04-15,211.04,209.95,210.43,210.05,190.42,99529300
SPY,2015-04-16,210.98,209.79,210.37,210.03,190.37,68934900
SPY,2015-04-17,209.23,207.01,207.95,208.94,188.18,191113200
SPY,2015-04-20,210.25,208.96,209.85,209.06,189.9,92189500
SPY,2015-04-21,210.86,209.24,209.6,210.67,189.67,72559800
SPY,2015-04-22,210.85,208.9,210.63,210.01,190.6,78264600
SPY,2015-04-23,211.94,210.01,211.16,210.15,191.08,102585900
SPY,2015-04-24,211.97,211.11,211.65,211.66,191.53,61327400
SPY,2015-04-27,212.48,210.54,210.77,212.33,190.73,79358100
SPY,2015-04-28,211.5,209.33,211.44,210.74,191.34,86863500
SPY,2015-04-29,211.29,209.6,210.57,210.37,190.55,125684900
SPY,2015-04-30,210.35,207.62,208.46,209.88,188.64,161304900
SPY,2015-05-01,210.77,209.28,210.72,209.4,190.68,103399700
SPY,2015-05-04,212.02,211.1,211.32,211.23,191.23,70927200
SPY,2015-05-05,211.46,208.73,208.9,211.03,189.04,113326200
SPY,2015-05-06,209.93,206.76,208.04,209.56,188.26,135060200
SPY,2015-05-07,209.38,207.52,208.87,207.92,189.01,88244900
SPY,2015-05-08,211.86,210.78,211.62,210.88,191.5,155877300
SPY,2015-05-11,211.89,210.52,210.61,211.57,190.58,75708100
SPY,2015-05-12,210.63,208.62,209.98,209.61,190.01,119727600
SPY,2015-05-13,211.22,209.74,210.02,210.47,190.05,94667900
SPY,2015-05-14,212.32,210.91,212.21,211.24,192.03,95934000
SPY,2015-05-15,212.61,211.86,212.44,212.44,192.24,76510100
SPY,2015-05-18,213.4,212.16,213.1,212.24,192.84,74549700
SPY,2015-05-19,213.57,212.69,213.03,213.24,192.77,72114600
SPY,2015-05-20,213.78,212.5,212.88,213.15,192.64,76857500
SPY,2015-05-21,213.75,212.51,213.5,212.71,193.2,64764600
SPY,2015-05-22,213.54,212.91,212.99,213.04,192.74,57433500
SPY,2015-05-26,212.91,210.2,210.7,212.4,190.67,124308600
SPY,2015-05-27,212.98,210.76,212.7,211.25,192.48,93214000
SPY,2015-05-28,212.59,211.63,212.46,212.33,192.26,74974600
SPY,2015-05-29,212.43,210.82,211.14,212.38,191.06,124919600
SPY,2015-06-01,212.34,210.62,211.57,211.94,191.45,93338800
SPY,2015-06-02,212.19,210.27,211.36,211.02,191.26,91531000
SPY,2015-06-03,212.67,211.33,211.92,212.0,191.77,87820900
SPY,2015-06-04,211.86,209.75,210.13,211.07,190.15,151882800
SPY,2015-06-05,210.58,208.98,209.77,209.95,189.82,121704700
SPY,2015-06-08,209.82,208.39,208.48,209.64,188.66,89063300
SPY,2015-06-09,209.1,207.69,208.45,208.45,188.63,105034700
SPY,2015-06-10,211.41,209.3,210.95,209.37,190.89,134551300
SPY,2015-06-11,212.09,211.2,211.63,211.48,191.51,73876400
SPY,2015-06-12,211.48,209.68,210.01,210.64,190.04,135382400
SPY,2015-06-15,209.45,207.79,209.11,208.64,189.23,124384200
SPY,2015-06-16,210.35,208.72,210.25,208.93,190.26,85308200
SPY,2015-06-17,211.32,209.36,210.59,210.59,190.57,126708600
SPY,2015-06-18,213.34,210.63,212.78,211.31,192.55,165867900
SPY,2015-06-19,211.55,210.36,210.81,211.46,191.69,130478700
SPY,2015-06-22,212.59,211.64,211.89,211.91,192.68,70696000
SPY,2015-06-23,212.44,211.57,212.04,212.14,192.81,68476800
SPY,2015-06-24,212.17,210.47,210.5,211.72,191.41,92307300
SPY,2015-06-25,211.25,209.77,209.86,211.1,190.83,97107400
SPY,2015-06-26,210.58,209.16,209.82,210.29,190.79,104174800
SPY,2015-06-29,209.83,205.33,205.42,208.05,186.79,202621300
SPY,2015-06-30,207.32,205.28,205.85,207.26,187.18,182925100
SPY,2015-07-01,208.03,206.56,207.5,207.73,188.68,135979900
SPY,2015-07-02,208.27,206.81,207.31,208.07,188.51,104373700
SPY,2015-07-06,207.65,205.53,206.72,205.77,187.97,117975400
SPY,2015-07-07,208.17,204.11,208.02,206.96,189.16,173820200
SPY,2015-07-08,206.76,204.25,204.53,206.42,185.98,164020100
SPY,2015-07-09,207.35,204.77,204.9,207.04,186.32,144113100
SPY,2015-07-10,207.98,204.95,207.48,207.29,188.67,129456900
SPY,2015-07-13,209.9,208.94,209.77,208.99,190.75,106069400
SPY,2015-07-14,211.05,209.65,210.68,209.72,191.58,81709600
SPY,2015-07-15,211.28,210.04,210.61,210.73,191.51,97914100
SPY,2015-07-16,212.3,211.58,212.3,211.87,193.05,106683300
SPY,2015-07-17,212.55,211.8,212.48,212.29,193.21,89030000
SPY,2015-07-20,213.18,212.21,212.59,212.75,193.31,70446800
SPY,2015-07-21,212.74,211.39,211.75,212.43,192.55,77965000
SPY,2015-07-22,211.77,210.89,211.37,210.93,192.2,88667900
SPY,2015-07-23,211.65,209.75,210.18,211.53,191.12,90509100
SPY,2015-07-24,210.37,207.6,208.0,210.3,189.14,117755000
SPY,2015-07-27,207.55,206.26,206.79,206.94,188.04,132361100
SPY,2015-07-28,209.5,206.8,209.33,207.79,190.35,123544800
SPY,2015-07-29,211.04,209.31,210.77,209.48,191.66,105791300
SPY,2015-07-30,211.02,209.42,210.82,210.16,191.7,91304400
SPY,2015-07-31,211.45,210.16,210.5,211.42,191.41,103266900
SPY,2015-08-03,210.53,208.65,209.79,210.46,190.77,113965700
SPY,2015-08-04,210.25,208.8,209.38,209.7,190.39,81820800
