Company,Symbol,Weight,Price
Microsoft Corporation,MSFT,5.615093,151.78
Apple Inc.,AAPL,4.95679,240.28
Amazon.com Inc.,AMZN,3.790274,1905.14
Facebook Inc. Class A,FB,1.873305,158.79
Berkshire Hathaway Inc. Class B,BRK.B,1.66901,176.57
Alphabet Inc. Class A,GOOGL,1.62481,1100.7
Alphabet Inc. Class C,GOOG,1.621899,1104.39
Johnson & Johnson,JNJ,1.610634,129.31
JPMorgan Chase & Co.,JPM,1.318421,83.88
Visa Inc. Class A,V,1.287783,152.36
Procter & Gamble Company,PG,1.280529,109.69
UnitedHealth Group Incorporated,UNH,1.103,237.04
Intel Corporation,INTC,1.099136,51.69
Verizon Communications Inc.,VZ,1.037371,52.97
Mastercard Incorporated Class A,MA,1.001002,227.84
AT&T Inc.,T,0.994177,28.09
Home Depot Inc.,HD,0.950913,178.88
Merck & Co. Inc.,MRK,0.914397,73.77
Pfizer Inc.,PFE,0.843188,31.76
Walt Disney Company,DIS,0.812772,94.87
Bank of America Corp,BAC,0.802419,19.68
Coca-Cola Company,KO,0.796526,42.1
PepsiCo Inc.,PEP,0.782031,118.1
Cisco Systems Inc.,CSCO,0.778441,38.3
Netflix Inc.,NFLX,0.768146,363.59
NVIDIA Corporation,NVDA,0.752873,241.84
Walmart Inc.,WMT,0.752528,114.39
Exxon Mobil Corporation,XOM,0.749977,37.45
Comcast Corporation Class A,CMCSA,0.728568,32.27
Adobe Inc.,ADBE,0.71923,300.79
Abbott Laboratories,ABT,0.650875,76.64
Chevron Corporation,CVX,0.639703,68.48
Bristol-Myers Squibb Company,BMY,0.6098,54.85
salesforce.com inc.,CRM,0.596018,134.57
Costco Wholesale Corporation,COST,0.587888,285.89
'McDonald''s Corporation',MCD,0.581876,157.9
Medtronic Plc,MDT,0.564847,84.2
Amgen Inc.,AMGN,0.562176,196.83
NextEra Energy Inc.,NEE,0.549559,217.21
Eli Lilly and Company,LLY,0.547343,136.22
Thermo Fisher Scientific Inc.,TMO,0.530721,274.33
Philip Morris International Inc.,PM,0.53046,70.86
AbbVie Inc.,ABBV,0.526516,73.47
PayPal Holdings Inc,PYPL,0.524513,91.12
Wells Fargo & Company,WFC,0.516161,26.62
Oracle Corporation,ORCL,0.489299,48.72
Accenture Plc Class A,ACN,0.484264,154.35
NIKE Inc. Class B,NKE,0.481338,79.63
International Business Machines Corporation,IBM,0.459105,105.18
Union Pacific Corporation,UNP,0.457553,136.51
American Tower Corporation,AMT,0.450758,206.73
Honeywell International Inc.,HON,0.446688,128.74
Gilead Sciences Inc.,GILD,0.440901,72.21
Broadcom Inc.,AVGO,0.439473,221.68
Texas Instruments Incorporated,TXN,0.436498,96.53
Linde plc,LIN,0.433906,161.81
Citigroup Inc.,C,0.42972,38.43
Danaher Corporation,DHR,0.413503,129.08
Lockheed Martin Corporation,LMT,0.392146,338.49
Boeing Company,BA,0.372641,131.12
3M Company,MMM,0.365955,132.83
Starbucks Corporation,SBUX,0.362812,62.32
CVS Health Corporation,CVS,0.360695,58.44
